FLIGHT_COUNT,SUM_YR_1,LAST_TO_END
210,239560.0,1
135,163618.0,11
23,116350.0,97
152,124560.0,5
92,112364.0,79
101,120500.0,1
73,82440.0,3
64,85258.0,15
43,69056.0,22
145,92975.0,6
29,44750.0,67
118,105466.0,3
50,68941.0,2
22,69300.0,65
101,93840.0,7
64,99735.0,2
38,60930.0,24
106,69566.0,4
94,59169.0,23
62,72806.0,17
213,136769.0,3
74,101398.0,11
101,94055.0,18
87,83780.0,11
53,96945.0,2
95,134702.0,8
131,86875.0,16
95,96692.0,3
25,115502.0,108
24,138960.0,34
54,101235.0,125
166,71418.0,1
81,107153.0,34
98,88788.0,2
35,146039.0,3
95,91729.0,3
46,53523.0,13
54,99145.0,38
110,75354.0,1
134,106902.0,7
107,81623.0,2
70,181233.0,304
189,74201.0,1
87,80624.0,4
29,59672.0,11
48,45881.0,1
68,62056.0,1
111,67261.0,4
69,65014.0,22
126,83906.0,4
55,53027.0,15
76,53644.0,21
68,78610.0,15
77,60120.0,1
84,69796.0,6
96,78243.0,14
30,41590.0,8
85,101471.0,19
32,77606.0,88
34,69213.0,19
197,113295.0,1
18,19100.0,62
64,50385.0,19
149,21251.0,4
61,36108.0,13
36,34341.0,36
22,24615.0,22
23,18062.0,29
102,79538.0,8
81,90030.0,6
30,23000.0,6
127,64222.0,12
56,44503.0,2
79,77755.0,1
97,55464.0,9
158,73605.0,2
64,33780.0,7
51,65145.0,13
29,52395.0,144
69,71749.0,1
88,37667.0,15
42,23150.0,15
129,85135.0,10
67,71181.0,14
12,12500.0,53
100,64331.0,4
69,78724.0,11
17,188926.0,34
12,75100.0,9
54,101923.0,4
79,74245.0,21
87,69765.0,5
53,76881.0,17
92,73350.0,17
90,68430.0,3
56,59951.0,9
146,71300.0,4
35,53356.0,15
33,72497.0,63
142,54428.0,7
31,23421.0,44
53,70090.0,29
21,69100.0,14
16,20140.0,27
85,58008.0,3
71,64754.0,22
130,32720.0,2
89,43042.0,4
83,53260.0,11
99,52996.0,2
40,33993.0,27
52,67215.0,11
65,73784.0,10
34,83009.0,3
83,45490.0,6
65,62763.0,24
18,7444.0,23
66,58495.0,4
52,28768.0,2
27,60310.0,38
193,93532.0,1
65,0.0,6
14,45675.0,59
24,26870.0,11
89,37259.0,17
57,55150.0,8
101,3126.0,12
19,25220.0,16
95,73267.0,24
85,75444.0,7
108,67505.0,22
64,48767.0,4
31,46725.0,1
79,59892.0,5
109,55140.0,17
19,24550.0,18
120,60467.0,25
45,42126.0,1
19,57507.0,135
22,48796.0,184
80,56260.0,15
82,57227.0,6
90,66245.0,12
17,36244.0,157
39,103340.0,9
102,59208.0,11
90,64227.0,11
125,56590.0,7
77,32440.0,23
79,70462.0,6
116,59962.0,13
58,65453.0,15
109,55657.0,8
180,66455.0,9
103,45754.0,1
107,78200.0,8
14,33444.0,121
149,64079.0,2
76,86103.0,49
55,64899.0,3
80,61032.0,4
40,38782.0,16
142,60942.0,7
24,36000.0,30
13,25200.0,18
85,41949.0,2
68,50278.0,3
116,68978.0,8
123,55346.0,2
47,36960.0,17
49,77457.0,107
86,49221.0,2
60,61135.0,11
110,54659.0,4
67,44102.0,2
51,22197.0,1
74,72537.0,69
12,38600.0,27
59,61605.0,6
120,48496.0,18
60,36815.0,3
57,14001.0,1
43,31354.0,57
113,51668.0,2
42,38043.0,23
58,65404.0,16
16,14570.0,30
122,51136.0,18
72,54023.0,6
113,68079.0,10
77,60762.0,2
57,58523.0,10
16,43784.0,13
77,37478.0,9
88,44502.0,3
13,42838.0,51
124,73591.0,3
69,73753.0,31
66,77458.0,1
26,40335.0,102
59,49710.0,4
125,46644.0,1
57,41320.0,3
64,5546.0,5
49,92685.0,114
58,54969.0,2
136,38680.0,5
68,61293.0,4
71,23960.0,4
116,75228.0,16
110,26253.0,1
105,49777.0,12
52,54805.0,21
106,54530.0,3
11,38230.0,178
59,57355.0,13
59,70753.0,18
83,47779.0,26
10,44800.0,317
116,42968.0,1
79,15407.0,6
76,43518.0,7
100,50031.0,1
107,47679.0,1
114,55786.0,13
57,31304.0,9
76,49105.0,22
43,34450.0,30
20,26930.0,22
53,30884.0,32
56,52249.0,4
84,4328.0,2
111,43198.0,6
109,74297.0,18
60,50783.0,5
61,48752.0,3
43,29030.0,9
149,49861.0,5
43,18526.0,4
56,80163.0,83
94,47363.0,3
84,57470.0,13
